Year,CO2 Emissions (MtCO2),Temperature Anomalies (°C)
1902,0.773,-.28
1903,0.756,-.37
1904,0.842,-.48
1905,0.751,-.27
1906,0.857,-.23
1907,0.96,-.39
1908,0.966,-.43
1909,1.019,-.49
1910,1.0,-.44
1911,1.036,-.45
1912,1.174,-.37
1913,1.275,-.35
1914,1.151,-.16
1915,1.056,-.14
1916,1.126,-.36
1917,1.036,-.46
1918,0.413,-.30
1919,0.353,-.28
1920,0.322,-.28
1921,0.349,-.19
1922,0.426,-.28
1923,0.47,-.27
1924,0.56,-.27
1925,0.553,-.22
1926,0.801,-.11
1927,0.996,-.22
1928,1.097,-.20
1929,1.182,-.36
1930,1.614,-.16
1931,1.94,-.09
1932,2.182,-.16
1933,2.44,-.29
1934,2.949,-.12
1935,3.333,-.20
1936,3.816,-.15
1937,3.906,-.03
1938,4.123,.00
1939,4.173,-.02
1940,5.001,.12
1941,4.397,.19
1942,2.407,.07
1943,2.512,.09
1944,3.643,.20
1945,3.842,.09
1946,4.307,-.07
1947,5.181,-.03
1948,5.504,-.11
1949,6.255,-.11
1950,6.961,-.17
1951,7.537,-.07
1952,8.071,.01
1953,8.538,.08
1954,9.318,-.13
1955,10.566,-.14
1956,11.596,-.19
1957,12.692,.05
1958,13.552,.06
1959,14.246,.03
1960,14.834,-.03
1961,15.309,.06
1962,16.087,.03
1963,17.268,.05
1964,18.375,-.20
1965,19.494,-.11
1966,20.591,-.06
1967,21.554,-.02
1968,22.183,-.08
1969,23.121,.05
1970,24.329,.03
1971,25.869,-.08
1972,27.271,.01
1973,28.48,.16
1974,29.627,-.07
1975,31.193,-.01
1976,32.413,-.10
1977,33.544,.18
1978,34.739,.07
1979,35.036,.16
1980,36.422,.26
1981,35.805,.32
1982,36.491,.14
1983,37.05,.31
1984,37.407,.16
1985,40.301,.12
1986,36.31,.18
1987,36.07,.32
1988,36.79,.39
1989,36.898,.27
1990,35.738,.45
1991,37.82,.40
1992,21.168,.22
1993,16.32,.23
1994,15.767,.31
1995,15.057,.44
1996,15.74,.33
1997,15.163,.46
1998,15.997,.61
1999,13.45,.38
2000,11.843,.39
2001,12.594,.53
2002,12.666,.63
2003,12.659,.62
2004,13.254,.53
2005,13.863,.68
2006,14.196,.64
2007,15.475,.66
2008,14.919,.54
2009,12.831,.66
2010,13.803,.73
2011,13.961,.61
2012,14.056,.65
2013,13.154,.68
2014,12.855,.75
2015,13.055,.90
2016,13.122,1.02
2017,13.286,.92
2018,13.435,.85
2019,13.678,.98
2020,13.539,1.02
2021,13.83,.85
2022,12.667,.90
1880,0.0,-.16
1881,0.0,-.08
1882,0.0,-.11
1883,0.0,-.17
1884,0.0,-.28
1885,0.0,-.33
1886,0.0,-.31
1887,0.0,-.36
1888,0.0,-.17
1889,0.0,-.11
1890,0.0,-.35
1891,0.0,-.23
1892,0.0,-.28
1893,0.0,-.31
1894,0.0,-.30
1895,0.0,-.23
1896,0.0,-.12
1897,0.0,-.11
1898,0.0,-.28
1899,0.0,-.18
1900,0.0,-.09
1901,0.0,-.16
1902,0.0,-.28
1903,0.0,-.37
1904,0.0,-.48
1905,0.014,-.27
1906,0.0,-.23
1907,0.0,-.39
1908,0.0,-.43
1909,0.149,-.49
1910,0.187,-.44
1911,0.222,-.45
1912,0.278,-.37
1913,0.323,-.35
1914,0.462,-.16
1915,0.576,-.14
1916,0.479,-.36
1917,0.0,-.46
1918,0.472,-.30
1919,0.559,-.28
1920,0.729,-.28
1921,0.788,-.19
1922,0.879,-.28
1923,1.116,-.27
1924,1.219,-.27
1925,1.772,-.22
1926,1.956,-.11
1927,2.056,-.22
1928,2.355,-.20
1929,2.672,-.36
1930,2.621,-.16
1931,2.617,-.09
1932,2.898,-.16
1933,3.343,-.29
1934,4.451,-.12
1935,5.213,-.20
1936,6.124,-.15
1937,6.645,-.03
1938,8.817,.00
1939,11.444,-.02
1940,14.601,.12
1941,16.288,.19
1942,18.012,.07
1943,17.548,.09
1944,18.452,.20
1945,0.31,.09
1946,0.46,-.07
1947,0.486,-.03
1948,1.853,-.11
1949,2.366,-.11
1950,7.948,-.17
1951,8.721,-.07
1952,9.891,.01
1953,11.382,.08
1954,19.958,-.13
1955,23.314,-.14
1956,25.601,-.19
1957,29.783,.05
1958,32.487,.06
1959,38.152,.03
1960,44.498,-.03
1961,46.036,.06
1962,51.337,.03
1963,53.148,.05
1964,57.885,-.20
1965,68.379,-.11
1966,73.031,-.06
1967,79.402,-.02
1968,99.222,-.08
1969,100.903,.05
1970,107.855,.03
1971,145.188,-.08
1972,125.525,.01
1973,135.8,.16
1974,141.665,-.07
1975,147.427,-.01
1976,151.134,-.10
1977,156.791,.18
1978,151.855,.07
1979,163.728,.16
1980,166.46,.26
1981,172.008,.32
1982,172.578,.14
1983,185.957,.31
1984,199.961,.16
1985,208.605,.12
1986,222.689,.18
1987,246.986,.32
1988,274.368,.39
1989,281.042,.27
1990,192.27,.45
1991,190.078,.40
1992,174.855,.22
1993,166.781,.23
1994,161.631,.31
1995,158.745,.44
1996,151.331,.33
1997,153.139,.46
1998,152.534,.61
1999,161.821,.38
2000,167.57,.39
2001,169.936,.53
2002,158.285,.63
2003,180.528,.62
2004,183.036,.53
2005,188.185,.68
2006,196.79,.64
2007,202.017,.66
2008,213.931,.54
2009,199.95,.66
2010,199.188,.73
2011,186.205,.61
2012,174.16,.65
2013,164.296,.68
2014,173.971,.75
2015,157.779,.90
2016,159.105,1.02
2017,189.823,.92
2018,196.043,.85
2019,203.781,.98
2020,198.498,1.02
2021,210.307,.85
2022,210.955,.90
1880,5.101,-.16
1881,5.225,-.08
1882,5.763,-.11
1883,6.5,-.17
1884,6.851,-.28
1885,6.949,-.33
1886,7.376,-.31
1887,7.938,-.36
1888,8.491,-.17
1889,9.514,-.11
1890,10.662,-.35
1891,11.638,-.23
1892,12.894,-.28
1893,15.1,-.31
1894,15.048,-.30
1895,17.92,-.23
1896,18.947,-.12
1897,21.579,-.11
1898,24.187,-.28
1899,27.128,-.18
1900,30.889,-.09
1901,33.62,-.16
1902,33.545,-.28
1903,35.192,-.37
1904,39.475,-.48
1905,38.694,-.27
1906,44.032,-.23
1907,49.416,-.39
1908,53.078,-.43
1909,54.144,-.49
1910,53.501,-.44
1911,56.272,-.45
1912,62.312,-.37
1913,68.392,-.35
1914,67.143,-.16
1915,66.786,-.14
1916,70.491,-.36
1917,71.615,-.46
1918,63.293,-.30
1919,66.863,-.28
1920,60.025,-.28
1921,66.312,-.19
1922,68.646,-.28
1923,74.854,-.27
1924,83.106,-.27
1925,84.351,-.22
1926,91.055,-.11
1927,101.493,-.22
1928,110.338,-.20
1929,116.685,-.36
1930,127.748,-.16
1931,127.914,-.09
1932,131.927,-.16
1933,139.989,-.29
1934,158.804,-.12
1935,170.385,-.20
1936,185.668,-.15
1937,203.386,-.03
1938,215.305,.00
1939,218.305,-.02
1940,237.473,.12
1941,217.726,.19
1942,160.829,.07
1943,166.089,.09
1944,192.423,.20
1945,207.346,.09
1946,223.01,-.07
1947,249.511,-.03
1948,285.84,-.11
1949,244.703,-.11
1950,279.561,-.17
1951,295.217,-.07
1952,315.367,.01
1953,328.495,.08
1954,352.958,-.13
1955,412.255,-.14
1956,448.117,-.19
1957,487.637,.05
1958,520.077,.06
1959,545.454,.03
1960,587.199,-.03
1961,612.927,.06
1962,647.389,.03
1963,696.047,.05
1964,736.925,-.20
1965,796.875,-.11
1966,850.891,-.06
1967,877.285,-.02
1968,931.905,-.08
1969,976.919,.05
1970,1044.582,.03
1971,1119.191,-.08
1972,1190.51,.01
1973,1283.618,.16
1974,1337.686,-.07
1975,1384.324,-.01
1976,1462.006,-.10
1977,1537.013,.18
1978,1605.972,.07
1979,1645.102,.16
1980,1678.436,.26
1981,1669.602,.32
1982,1728.805,.14
1983,1796.428,.31
1984,1850.454,.16
1985,1984.765,.12
1986,2012.693,.18
1987,2064.574,.32
1988,2149.739,.39
1989,2142.704,.27
1990,2252.99,.45
1991,2258.792,.40
1992,2310.366,.22
1993,2305.228,.23
1994,2340.968,.31
1995,2402.345,.44
1996,2513.201,.33
1997,2583.715,.46
1998,2635.925,.61
1999,2795.164,.38
2000,2829.287,.39
2001,2926.606,.53
2002,2969.398,.63
2003,3113.993,.62
2004,3254.857,.53
2005,3401.122,.68
2006,3576.645,.64
2007,3765.806,.66
2008,3893.86,.54
2009,4028.84,.66
2010,4248.388,.73
2011,4501.157,.61
2012,4719.676,.65
2013,4794.812,.68
2014,5021.776,.75
2015,5198.568,.90
2016,5429.588,1.02
2017,5648.397,.92
2018,5919.133,.85
2019,6138.582,.98
2020,5804.352,1.02
2021,6191.859,.85
2022,6375.42,.90
1945,0.025,.09
1946,0.036,-.07
1947,0.044,-.03
1948,0.051,-.11
1949,0.058,-.11
1950,7.419,-.17
1951,9.009,-.07
1952,9.401,.01
1953,8.654,.08
1954,8.782,-.13
1955,9.885,-.14
1956,10.368,-.19
1957,10.837,.05
1958,10.086,.06
1959,10.42,.03
1960,11.508,-.03
1961,11.581,.06
1962,11.541,.03
1963,11.438,.05
1964,12.296,-.20
1965,12.193,-.11
1966,11.61,-.06
1967,11.35,-.02
1968,12.259,-.08
1969,13.182,.05
1970,13.735,.03
1971,13.194,-.08
1972,13.493,.01
1973,14.175,.16
1974,14.424,-.07
1975,11.864,-.01
1976,11.862,-.10
1977,10.954,.18
1978,11.881,.07
1979,12.162,.16
1980,11.074,.26
1981,9.486,.32
1982,8.924,.14
1983,8.364,.31
1984,9.004,.16
1985,9.237,.12
1986,9.111,.18
1987,8.812,.32
1988,9.1,.39
1989,9.846,.27
1990,11.816,.45
1991,12.435,.40
1992,12.202,.22
1993,12.352,.23
1994,11.543,.31
1995,9.156,.44
1996,9.207,.33
1997,8.564,.46
1998,7.663,.61
1999,8.118,.38
2000,8.704,.39
2001,9.205,.53
2002,9.981,.63
2003,10.453,.62
2004,11.822,.53
2005,12.08,.68
2006,11.911,.64
2007,11.307,.66
2008,11.172,.54
2009,10.63,.66
2010,11.198,.73
2011,11.102,.61
2012,10.872,.65
2013,10.339,.68
2014,9.823,.75
2015,9.351,.90
2016,9.094,1.02
2017,9.268,.92
2018,9.574,.85
2019,9.77,.98
2020,8.068,1.02
2021,8.43,.85
2022,7.524,.90
1880,0.0,-.16
1881,0.0,-.08
1882,0.0,-.11
1883,0.0,-.17
1884,0.0,-.28
1885,0.0,-.33
1886,0.0,-.31
1887,0.0,-.36
1888,0.0,-.17
1889,0.0,-.11
1890,0.0,-.35
1891,0.0,-.23
1892,0.0,-.28
1893,0.0,-.31
1894,0.0,-.30
1895,0.0,-.23
1896,0.0,-.12
1897,0.0,-.11
1898,0.0,-.28
1899,0.0,-.18
1900,0.0,-.09
1901,0.0,-.16
1902,0.0,-.28
1903,0.0,-.37
1904,0.0,-.48
1905,0.0,-.27
1906,0.0,-.23
1907,0.0,-.39
1908,0.0,-.43
1909,0.0,-.49
1910,0.0,-.44
1911,0.0,-.45
1912,0.0,-.37
1913,0.0,-.35
1914,0.0,-.16
1915,0.0,-.14
1916,0.0,-.36
1917,0.0,-.46
1918,0.0,-.30
1919,0.0,-.28
1920,0.0,-.28
1921,0.0,-.19
1922,0.0,-.28
1923,0.0,-.27
1924,0.0,-.27
1925,0.0,-.22
1926,0.0,-.11
1927,0.0,-.22
1928,0.0,-.20
1929,0.0,-.36
1930,0.0,-.16
1931,0.0,-.09
1932,0.0,-.16
1933,0.0,-.29
1934,0.0,-.12
1935,0.0,-.20
1936,0.0,-.15
1937,0.0,-.03
1938,0.0,.00
1939,0.0,-.02
1940,0.0,.12
1941,0.0,.19
1942,0.0,.07
1943,0.0,.09
1944,0.0,.20
1945,0.0,.09
1946,0.0,-.07
1947,0.0,-.03
1948,0.0,-.11
1949,0.0,-.11
1950,0.0,-.17
1951,0.0,-.07
1952,0.0,.01
1953,0.0,.08
1954,0.022,-.13
1955,0.022,-.14
1956,0.026,-.19
1957,0.029,.05
1958,0.029,.06
1959,0.037,.03
1960,0.051,-.03
1961,0.07,.06
1962,0.095,.03
1963,0.106,.05
1964,0.128,-.20
1965,0.132,-.11
1966,0.15,-.06
1967,0.165,-.02
1968,0.169,-.08
1969,0.169,.05
1970,0.205,.03
1971,0.227,-.08
1972,0.231,.01
1973,0.224,.16
1974,0.267,-.07
1975,0.297,-.01
1976,0.253,-.10
1977,0.308,.18
1978,0.414,.07
1979,0.414,.16
1980,0.528,.26
1981,0.535,.32
1982,0.484,.14
1983,0.682,.31
1984,0.605,.16
1985,0.733,.12
1986,0.876,.18
1987,0.971,.32
1988,0.964,.39
1989,1.03,.27
1990,1.033,.45
1991,1.092,.40
1992,1.081,.22
1993,1.18,.23
1994,1.271,.31
1995,1.231,.44
1996,1.407,.33
1997,1.488,.46
1998,1.557,.61
1999,1.517,.38
2000,1.63,.39
2001,1.685,.53
2002,1.517,.63
2003,1.532,.62
2004,1.715,.53
2005,1.828,.68
2006,1.619,.64
2007,1.363,.66
2008,1.132,.54
2009,1.891,.66
2010,1.235,.73
2011,1.293,.61
2012,1.132,.65
2013,0.989,.68
2014,1.293,.75
2015,1.77,.90
2016,1.781,1.02
2017,1.927,.92
2018,1.242,.85
2019,1.213,.98
2020,1.033,1.02
2021,1.069,.85
2022,1.052,.90
1933,0.004,-.29
1934,0.007,-.12
1935,0.004,-.20
1945,0.007,.09
1947,0.004,-.03
1948,0.004,-.11
1949,0.004,-.11
1950,0.304,-.17
1951,0.245,-.07
1952,0.308,.01
1953,0.253,.08
1954,0.289,-.13
1955,0.304,-.14
1956,0.319,-.19
1957,0.315,.05
1958,0.374,.06
1959,0.374,.03
1960,0.399,-.03
1961,0.355,.06
1962,0.396,.03
1963,0.461,.05
1964,0.483,-.20
1965,0.557,-.11
1966,0.579,-.06
1967,0.842,-.02
1968,0.912,-.08
1969,0.85,.05
1970,0.971,.03
1971,1.026,-.08
1972,1.286,.01
1973,1.073,.16
1974,1.187,-.07
1975,1.693,-.01
1976,0.992,-.10
1977,0.846,.18
1978,1.017,.07
1979,1.13,.16
1980,1.614,.26
1981,1.025,.32
1982,1.013,.14
1983,0.65,.31
1984,0.866,.16
1985,1.053,.12
1986,1.137,.18
1987,1.282,.32
1988,1.286,.39
1989,0.926,.27
1990,0.944,.45
1991,1.025,.40
1992,1.003,.22
1993,1.032,.23
1994,1.152,.31
1995,1.192,.44
1996,1.245,.33
1997,1.535,.46
1998,1.619,.61
1999,1.763,.38
2000,1.948,.39
2001,1.743,.53
2002,1.236,.63
2003,1.692,.62
2004,1.804,.53
2005,1.741,.68
2006,1.675,.64
2007,1.735,.66
2008,1.78,.54
2009,1.706,.66
2010,1.872,.73
2011,2.374,.61
2012,2.744,.65
2013,3.208,.68
2014,3.158,.75
2015,3.227,.90
2016,3.268,1.02
2017,4.119,.92
2018,3.791,.85
2019,4.256,.98
2020,3.964,1.02
2021,4.267,.85
2022,4.404,.90
1950,0.235,-.17
1951,0.259,-.07
1952,0.291,.01
1953,0.317,.08
1954,0.349,-.13
1955,0.411,-.14
1956,0.448,-.19
1957,0.461,.05
1958,0.412,.06
1959,0.46,.03
1960,0.438,-.03
1961,0.373,.06
1962,0.361,.03
1963,0.347,.05
1964,0.33,-.20
1965,0.348,-.11
1966,0.429,-.06
1967,0.366,-.02
1968,0.388,-.08
1969,0.381,.05
1970,0.454,.03
1971,0.502,-.08
1972,0.546,.01
1973,0.571,.16
1974,0.549,-.07
1975,0.578,-.01
1976,0.582,-.10
1977,0.637,.18
1978,0.67,.07
1979,0.637,.16
1980,0.71,.26
1981,0.604,.32
1982,0.593,.14
1983,0.575,.31
1984,0.556,.16
1985,0.556,.12
1986,0.552,.18
1987,0.545,.32
1988,0.541,.39
1989,0.563,.27
1990,0.74,.45
1991,0.788,.40
1992,0.787,.22
1993,0.882,.23
1994,0.902,.31
1995,0.907,.44
1996,0.92,.33
1997,0.915,.46
1998,0.902,.61
1999,0.893,.38
2000,0.858,.39
2001,0.773,.53
2002,0.856,.63
2003,0.918,.62
2004,0.902,.53
2005,0.849,.68
2006,0.848,.64
2007,0.919,.66
2008,0.998,.54
2009,1.013,.66
2010,0.968,.73
2011,1.056,.61
2012,1.066,.65
2013,1.146,.68
2014,1.041,.75
2015,1.083,.90
2016,1.206,1.02
2017,1.23,.92
2018,1.723,.85
2019,1.637,.98
2020,1.871,1.02
2021,2.078,.85
2022,2.094,.90
1890,0.007,-.35
1891,0.018,-.23
1892,0.048,-.28
1893,0.011,-.31
1894,0.048,-.30
1895,0.11,-.23
1896,0.125,-.12
1897,0.092,-.11
1898,0.128,-.28
1899,0.121,-.18
1900,0.059,-.09
1901,0.048,-.16
1902,0.051,-.28
1903,0.051,-.37
1904,0.033,-.48
1905,0.04,-.27
1906,0.037,-.23
1907,0.088,-.39
1908,0.092,-.43
1909,0.169,-.49
1910,0.234,-.44
1912,0.018,-.37
1913,0.062,-.35
1914,0.147,-.16
1915,0.205,-.14
1916,0.55,-.36
1917,0.652,-.46
1918,0.671,-.30
1919,0.769,-.28
1920,1.11,-.28
1921,1.414,-.19
1922,2.004,-.28
1923,2.583,-.27
1924,2.506,-.27
1925,2.964,-.22
1926,3.4,-.11
1927,3.378,-.22
1928,3.807,-.20
1929,4.115,-.36
1930,3.671,-.16
1931,2.708,-.09
1932,1.795,-.16
1933,1.59,-.29
1934,1.733,-.12
1935,1.806,-.20
1936,2.048,-.15
1937,2.345,-.03
1938,1.913,.00
1939,1.704,-.02
1940,2.568,.12
1941,2.184,.19
1942,0.66,.07
1943,1.319,.09
1944,1.103,.20
1945,0.612,.09
1946,0.605,-.07
1947,0.685,-.03
1948,1.19,-.11
1949,1.22,-.11
1950,3.655,-.17
1951,5.22,-.07
1952,6.371,.01
1953,6.499,.08
1954,7.004,-.13
1955,7.43,-.14
1956,7.563,-.19
1957,3.513,.05
1958,3.832,.06
1959,3.183,.03
1960,4.201,-.03
1961,4.685,.06
1962,4.777,.03
1963,5.828,.05
1964,7.399,-.20
1965,8.38,-.11
1966,9.834,-.06
1967,10.128,-.02
1968,10.53,-.08
1969,9.138,.05
1970,14.586,.03
1971,16.663,-.08
1972,17.901,.01
1973,17.505,.16
1974,19.045,-.07
1975,19.445,-.01
1976,23.898,-.10
1977,22.621,.18
1978,23.26,.07
1979,27.306,.16
1980,28.033,.26
1981,30.878,.32
1982,30.642,.14
1983,38.048,.31
1984,34.794,.16
1985,36.33,.12
1986,40.102,.18
1987,40.878,.32
1988,42.869,.39
1989,50.084,.27
1990,54.269,.45
1991,65.785,.40
1992,72.961,.22
1993,86.719,.23
1994,88.036,.31
1995,110.841,.44
1996,110.633,.33
1997,119.629,.46
1998,109.782,.61
1999,103.987,.38
2000,122.878,.39
2001,130.89,.53
2002,132.035,.63
2003,153.384,.62
2004,169.678,.53
2005,169.967,.68
2006,170.166,.64
2007,175.451,.66
2008,192.847,.54
2009,192.119,.66
2010,199.346,.73
2011,203.452,.61
2012,212.99,.65
2013,241.671,.68
2014,245.05,.75
2015,235.506,.90
2016,236.817,1.02
2017,244.106,.92
2018,262.207,.85
2019,267.494,.98
2020,269.249,1.02
2021,278.861,.85
2022,291.071,.90
1971,0.004,-.08
1972,0.004,.01
1973,0.004,.16
1974,0.004,-.07
1975,0.007,-.01
1976,0.011,-.10
1977,0.015,.18
1978,0.022,.07
1979,0.029,.16
1980,0.044,.26
1981,0.048,.32
1982,0.048,.14
1983,0.051,.31
1984,0.059,.16
1985,0.066,.12
1986,0.081,.18
1987,0.081,.32
1988,0.095,.39
1989,0.125,.27
1990,0.172,.45
1991,0.154,.40
1992,0.231,.22
1993,0.198,.23
1994,0.198,.31
1995,0.249,.44
1996,0.289,.33
1997,0.33,.46
1998,0.3,.61
1999,0.421,.38
2000,0.451,.39
2001,0.462,.53
2002,0.594,.63
2003,0.506,.62
2004,0.667,.53
2005,0.601,.68
2006,0.744,.64
2007,0.78,.66
2008,0.843,.54
2009,0.883,.66
2010,0.934,.73
2011,0.986,.61
2012,1.11,.65
2013,1.092,.68
2014,1.315,.75
2015,1.279,.90
2016,1.436,1.02
2017,1.513,.92
2018,1.74,.85
2019,1.953,.98
2020,1.649,1.02
2021,1.72,.85
2022,1.701,.90
1959,0.048,.03
1960,0.121,-.03
1961,0.117,.06
1962,0.139,.03
1963,0.176,.05
1964,0.176,-.20
1965,0.198,-.11
1966,0.191,-.06
1967,0.224,-.02
1968,0.198,-.08
1969,0.161,.05
1970,0.202,.03
1971,0.227,-.08
1972,0.245,.01
1973,0.267,.16
1974,0.304,-.07
1975,0.341,-.01
1976,0.34,-.10
1977,0.413,.18
1978,0.395,.07
1979,0.428,.16
1980,0.391,.26
1981,0.395,.32
1982,0.365,.14
1983,0.417,.31
1984,0.435,.16
1985,0.405,.12
1986,0.38,.18
1987,0.358,.32
1988,0.383,.39
1989,0.416,.27
1990,0.422,.45
1991,0.426,.40
1992,0.463,.22
1993,0.503,.23
1994,0.548,.31
1995,0.595,.44
1996,0.646,.33
1997,0.727,.46
1998,0.934,.61
1999,0.971,.38
2000,1.066,.39
2001,1.161,.53
2002,1.209,.63
2003,1.246,.62
2004,1.407,.53
2005,1.455,.68
2006,1.535,.64
2007,1.788,.66
2008,1.957,.54
2009,1.887,.66
2010,2.088,.73
2011,2.279,.61
2012,2.437,.65
2013,2.743,.68
2014,3.136,.75
2015,3.282,.90
2016,4.235,1.02
2017,4.656,.92
2018,4.909,.85
2019,5.833,.98
2020,6.419,1.02
2021,6.928,.85
2022,7.039,.90
1950,0.245,-.17
1951,0.256,-.07
1952,0.242,.01
1953,0.231,.08
1954,0.308,-.13
1955,0.341,-.14
1956,0.297,-.19
1957,0.311,.05
1958,0.33,.06
1959,0.388,.03
1960,0.341,-.03
1961,0.293,.06
1962,0.33,.03
1963,0.41,.05
1964,0.498,-.20
1965,0.473,-.11
1966,0.414,-.06
1967,0.52,-.02
1968,0.638,-.08
1969,0.652,.05
1970,0.663,.03
1971,0.66,-.08
1972,0.839,.01
1973,0.806,.16
1974,0.744,-.07
1975,0.667,-.01
1976,0.762,-.10
1977,0.802,.18
1978,0.934,.07
1979,0.905,.16
1980,1.022,.26
1981,1.143,.32
1982,1.312,.14
1983,0.997,.31
1984,1.363,.16
1985,1.198,.12
1986,1.484,.18
1987,1.854,.32
1988,2.012,.39
1989,2.169,.27
1990,2.427,.45
1991,2.272,.40
1992,2.294,.22
1993,2.886,.23
1994,2.658,.31
1995,2.452,.44
1996,2.534,.33
1997,2.556,.46
1998,2.525,.61
1999,2.573,.38
2000,2.468,.39
2001,2.737,.53
2002,2.747,.63
2003,2.961,.62
2004,2.849,.53
2005,2.657,.68
2006,2.667,.64
2007,2.731,.66
2008,2.69,.54
2009,2.526,.66
2010,2.603,.73
2011,2.584,.61
2012,2.717,.65
2013,2.379,.68
2014,2.364,.75
2015,1.665,.90
2016,1.356,1.02
2017,1.531,.92
2018,1.547,.85
2019,1.649,.98
2020,1.597,1.02
2021,1.607,.85
2022,1.655,.90
1992,0.077,.22
1993,0.084,.23
1994,0.084,.31
1995,0.088,.44
1996,0.088,.33
1997,0.088,.46
1998,0.092,.61
1999,0.088,.38
2000,0.099,.39
2001,0.103,.53
2002,0.11,.63
2003,0.106,.62
2004,0.117,.53
2005,0.114,.68
2006,0.121,.64
2007,0.125,.66
2008,0.128,.54
2009,0.132,.66
2010,0.136,.73
2011,0.139,.61
2012,0.136,.65
2013,0.139,.68
2014,0.143,.75
2015,0.143,.90
2016,0.143,1.02
2017,0.147,.92
2018,0.147,.85
2019,0.147,.98
2020,0.147,1.02
2021,0.153,.85
2022,0.151,.90
1880,0.0,-.16
1881,0.0,-.08
1882,0.0,-.11
1883,0.0,-.17
1884,0.0,-.28
1885,0.0,-.33
1886,0.0,-.31
1887,0.0,-.36
1888,0.0,-.17
1889,0.0,-.11
1890,0.0,-.35
1891,0.0,-.23
1892,0.0,-.28
1893,0.0,-.31
1894,0.0,-.30
1895,0.0,-.23
1896,0.0,-.12
1897,0.0,-.11
1898,0.0,-.28
1899,0.0,-.18
1900,0.0,-.09
1901,0.0,-.16
1902,0.0,-.28
1903,0.0,-.37
1904,0.0,-.48
1905,0.0,-.27
1906,0.0,-.23
1907,0.0,-.39
1908,0.0,-.43
1909,0.0,-.49
1910,0.0,-.44
1911,0.0,-.45
1912,0.0,-.37
1913,0.0,-.35
1914,0.0,-.16
1915,0.0,-.14
1916,0.0,-.36
1917,0.0,-.46
1918,0.0,-.30
1919,0.0,-.28
1920,0.0,-.28
1921,0.0,-.19
1922,0.0,-.28
1923,0.0,-.27
1924,0.0,-.27
1925,0.0,-.22
1926,0.0,-.11
1927,0.0,-.22
1928,0.0,-.20
1929,0.0,-.36
1930,0.0,-.16
1931,0.0,-.09
1932,0.0,-.16
1933,0.0,-.29
1934,0.0,-.12
1935,0.0,-.20
1936,0.0,-.15
1937,0.0,-.03
1938,0.0,.00
1939,0.0,-.02
1940,0.0,.12
1941,0.0,.19
1942,0.0,.07
1943,0.0,.09
1944,0.0,.20
1945,0.0,.09
1946,0.0,-.07
1947,0.0,-.03
1948,0.0,-.11
1949,0.0,-.11
1950,0.0,-.17
1951,0.0,-.07
1952,0.0,.01
1953,0.0,.08
1954,0.0,-.13
1955,0.0,-.14
1956,0.0,-.19
1957,0.0,.05
1958,0.0,.06
1959,0.033,.03
1960,0.037,-.03
1961,0.048,.06
1962,0.062,.03
1963,0.088,.05
1964,0.117,-.20
1965,0.161,-.11
1966,0.18,-.06
1967,0.198,-.02
1968,0.234,-.08
1969,0.275,.05
1970,0.429,.03
1971,0.399,-.08
1972,0.447,.01
1973,0.469,.16
1974,0.484,-.07
1975,0.509,-.01
1976,0.517,-.10
1977,0.557,.18
1978,0.583,.07
1979,0.605,.16
1980,0.63,.26
1981,0.634,.32
1982,0.883,.14
1983,0.938,.31
1984,0.872,.16
1985,0.656,.12
1986,0.374,.18
1987,3.243,.32
1988,3.184,.39
1989,2.803,.27
1990,0.854,.45
1991,0.868,.40
1992,0.905,.22
1993,0.927,.23
1994,0.956,.31
1995,1.015,.44
1996,1.063,.33
1997,1.077,.46
1998,1.07,.61
1999,1.096,.38
2000,1.114,.39
2001,1.172,.53
2002,1.249,.63
2003,1.29,.62
2004,1.385,.53
2005,1.437,.68
2006,1.55,.64
2007,1.758,.66
2008,1.834,.54
2009,2.012,.66
2010,2.094,.73
2011,2.23,.61
2012,2.448,.65
2013,2.169,.68
2014,2.566,.75
2015,3.002,.90
2016,2.627,1.02
2017,3.42,.92
2018,3.664,.85
2019,3.774,.98
2020,4.118,1.02
2021,4.455,.85
2022,4.534,.90
1950,0.202,-.17
1951,0.139,-.07
1952,0.176,.01
1953,0.187,.08
1954,0.187,-.13
1955,0.128,-.14
1956,0.22,-.19
1957,0.22,.05
1958,0.209,.06
1959,0.224,.03
1960,0.18,-.03
1961,0.187,.06
1962,0.253,.03
1963,0.209,.05
1964,0.308,-.20
1965,0.304,-.11
1966,0.275,-.06
1967,0.498,-.02
1968,0.638,-.08
1969,0.572,.05
1970,0.498,.03
1971,0.396,-.08
1972,0.689,.01
1973,0.678,.16
1974,0.692,-.07
1975,0.59,-.01
1976,0.619,-.10
1977,0.641,.18
1978,0.63,.07
1979,0.66,.16
1980,0.59,.26
1981,0.542,.32
1982,0.502,.14
1983,0.597,.31
1984,0.627,.16
1985,0.707,.12
1986,0.799,.18
1987,0.931,.32
1988,0.854,.39
1989,1.052,.27
1990,1.462,.45
1991,1.521,.40
1992,1.707,.22
1993,1.773,.23
1994,1.623,.31
1995,1.828,.44
1996,1.949,.33
1997,1.997,.46
1998,2.169,.61
1999,2.426,.38
2000,2.689,.39
2001,2.862,.53
2002,2.884,.63
2003,3.059,.62
2004,3.089,.53
2005,3.294,.68
2006,3.627,.64
2007,3.686,.66
2008,3.767,.54
